ID,CHECKING_BALANCE,CREDIT_HISTORY,EXISTING_SAVINGS,EXISTING_CREDITS_COUNT
122621,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
766518,-121.65,CREDITS_PAID_TO_DATE,33.8,1.0
768904,69.95,CREDITS_PAID_TO_DATE,5943.03,1.0
568874,NO_CHECKING,ALL_CREDITS_PAID_BACK,74.87,1.0
135276,NO_CHECKING,OUTSTANDING_CREDIT,17005.6,2.0
407901,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,9884.9,2.0
314905,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,360.72,2.0
472718,-671.25,ALL_CREDITS_PAID_BACK,28.72,1.0
373568,NO_CHECKING,OUTSTANDING_CREDIT,725.48,1.0
1289267,NO_CHECKING,OUTSTANDING_CREDIT,224.92,2.0
570649,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,UNKNOWN,2.0
462527,-1889.02,PRIOR_PAYMENTS_DELAYED,1.99,1.0
1048493,-136.6,ALL_CREDITS_PAID_BACK,87.51,1.0
158494,0,ALL_CREDITS_PAID_BACK,32.16,1.0
912275,130.93,NO_CREDITS,3.74,1.0
992521,-288.32,CREDITS_PAID_TO_DATE,91.73,1.0
1165983,-124.4,PRIOR_PAYMENTS_DELAYED,5.18,2.0
1141844,-130.5,OUTSTANDING_CREDIT,277.48,1.0
227973,NO_CHECKING,CREDITS_PAID_TO_DATE,117.29,1.0
214780,185.52,PRIOR_PAYMENTS_DELAYED,30.68,1.0
887796,NO_CHECKING,OUTSTANDING_CREDIT,665.47,1.0
796849,-120.17,ALL_CREDITS_PAID_BACK,79.3,1.0
725323,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,662.76,2.0
458752,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,387.34,2.0
610808,NO_CHECKING,OUTSTANDING_CREDIT,12205.01,3.0
845739,9.7,OUTSTANDING_CREDIT,2035.45,2.0
1143543,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,,1.0
542951,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,671.14,1.0
512748,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,651.71,1.0
335831,92.84,NO_CREDITS,15.15,1.0
1285384,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,10913.37,2.0
148329,-110.57,ALL_CREDITS_PAID_BACK,36.11,1.0
1285402,8.01,PRIOR_PAYMENTS_DELAYED,23.31,2.0
903353,NO_CHECKING,CREDITS_PAID_TO_DATE,327.42,1.0
894304,139.06,CREDITS_PAID_TO_DATE,565.68,1.0
783338,-704.85,CREDITS_PAID_TO_DATE,20.86,1.0
1035574,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,788.7,2.0
542438,NO_CHECKING,OUTSTANDING_CREDIT,25037.88,2.0
1281941,0,PRIOR_PAYMENTS_DELAYED,18746.84,1.0
940103,2.15,CREDITS_PAID_TO_DATE,702.95,1.0
120024,-128.19,CREDITS_PAID_TO_DATE,509.71,2.0
397008,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,856.4,2.0
1107587,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,18491.01,1.0
148222,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,157.04,2.0
979111,-362.97,CREDITS_PAID_TO_DATE,94.5,1.0
576560,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,1757.8,2.0
407798,-295.3,ALL_CREDITS_PAID_BACK,96.69,1.0
153023,NO_CHECKING,CREDITS_PAID_TO_DATE,981.82,3.0
941671,-2347.87,ALL_CREDITS_PAID_BACK,83.16,1.0
303713,120.23,CREDITS_PAID_TO_DATE,443.11,2.0
797591,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,UNKNOWN,3.0
649033,NO_CHECKING,CREDITS_PAID_TO_DATE,8014.6,2.0
1013417,78.02,CREDITS_PAID_TO_DATE,3.01,2.0
836982,NO_CHECKING,CREDITS_PAID_TO_DATE,222.78,2.0
419425,NO_CHECKING,OUTSTANDING_CREDIT,742.35,1.0
1077108,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,411.63,2.0
892758,-257.89,CREDITS_PAID_TO_DATE,206.93,2.0
649053,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,27230.61,2.0
1032691,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,192.61,1.0
456168,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,720.36,2.0
246002,-2617.35,PRIOR_PAYMENTS_DELAYED,2062.69,3.0
948771,NO_CHECKING,CREDITS_PAID_TO_DATE,95.64,1.0
812003,0,CREDITS_PAID_TO_DATE,76.29,1.0
319835,NO_CHECKING,OUTSTANDING_CREDIT,174.18,1.0
1199976,179.58,CREDITS_PAID_TO_DATE,56.23,1.0
330683,68.02,PRIOR_PAYMENTS_DELAYED,32606.09,1.0
932321,-540.51,CREDITS_PAID_TO_DATE,45.94,1.0
1108135,NO_CHECKING,OUTSTANDING_CREDIT,995.95,1.0
694311,92.28,CREDITS_PAID_TO_DATE,978.41,2.0
77524,-44.66,PRIOR_PAYMENTS_DELAYED,24.49,1.0
620024,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,853.81,2.0
76618,NO_CHECKING,CREDITS_PAID_TO_DATE,201.44,1.0
1159583,0,CREDITS_PAID_TO_DATE,40.13,1.0
735542,-56.31,ALL_CREDITS_PAID_BACK,340.2,1.0
712883,-110.94,CREDITS_PAID_TO_DATE,63.91,1.0
968178,104.88,PRIOR_PAYMENTS_DELAYED,36.03,2.0
1144585,0,CREDITS_PAID_TO_DATE,200.56,2.0
776941,-546.14,CREDITS_PAID_TO_DATE,52.74,1.0
511924,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
368637,-342.91,CREDITS_PAID_TO_DATE,885.88,1.0
225589,-58.57,PRIOR_PAYMENTS_DELAYED,778.4,2.0
393377,-1349.02,PRIOR_PAYMENTS_DELAYED,37.66,1.0
670971,NO_CHECKING,CREDITS_PAID_TO_DATE,1388.46,1.0
789846,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,103.4,2.0
187662,-52.51,PRIOR_PAYMENTS_DELAYED,59.96,1.0
911639,NO_CHECKING,OUTSTANDING_CREDIT,43923.04,2.0
198011,154.94,PRIOR_PAYMENTS_DELAYED,76.12,2.0
1125247,-1691.68,ALL_CREDITS_PAID_BACK,83.13,1.0
465872,NO_CHECKING,OUTSTANDING_CREDIT,925.17,2.0
803688,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,758.75,1.0
753984,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,482.01,2.0
1077296,-260.42,CREDITS_PAID_TO_DATE,65.46,1.0
681564,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
1181327,-30.79,ALL_CREDITS_PAID_BACK,461.95,1.0
655180,NO_CHECKING,OUTSTANDING_CREDIT,3670.98,3.0
984499,-743.08,PRIOR_PAYMENTS_DELAYED,15.52,1.0
662928,-224.19,CREDITS_PAID_TO_DATE,212.14,1.0
72908,-22.62,ALL_CREDITS_PAID_BACK,359.06,2.0
569912,NO_CHECKING,CREDITS_PAID_TO_DATE,16.4,1.0
769631,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,UNKNOWN,2.0
574066,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,368.33,1.0
171192,197.72,PRIOR_PAYMENTS_DELAYED,950.59,2.0
612509,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,UNKNOWN,2.0
507506,-249.15,PRIOR_PAYMENTS_DELAYED,75.06,2.0
1278195,-339.02,ALL_CREDITS_PAID_BACK,81.8,1.0
1031241,NO_CHECKING,CREDITS_PAID_TO_DATE,340.3,1.0
1187275,-275.67,ALL_CREDITS_PAID_BACK,78.8,2.0
838488,135.63,OUTSTANDING_CREDIT,754.96,2.0
502792,-109.45,CREDITS_PAID_TO_DATE,106.18,1.0
1084370,-104.7,CREDITS_PAID_TO_DATE,215.97,1.0
145683,-816.98,ALL_CREDITS_PAID_BACK,61.88,1.0
833423,55.5,PRIOR_PAYMENTS_DELAYED,33.55,1.0
1277256,162.0,ALL_CREDITS_PAID_BACK,1063.49,2.0
1007373,196.52,PRIOR_PAYMENTS_DELAYED,904.82,1.0
454542,-243.26,CREDITS_PAID_TO_DATE,,1.0
1185705,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,4390.72,2.0
1079616,NO_CHECKING,CREDITS_PAID_TO_DATE,341.79,2.0
946741,196.92,OUTSTANDING_CREDIT,218.08,2.0
349397,76.13,OUTSTANDING_CREDIT,243.36,2.0
339743,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,20762.66,2.0
630028,NO_CHECKING,OUTSTANDING_CREDIT,982.15,1.0
760357,-252.37,CREDITS_PAID_TO_DATE,13.39,1.0
535464,157.17,CREDITS_PAID_TO_DATE,17.68,1.0
471780,45.87,CREDITS_PAID_TO_DATE,91.59,1.0
582570,3019.48,PRIOR_PAYMENTS_DELAYED,208.53,1.0
1057270,28041.16,PRIOR_PAYMENTS_DELAYED,324.95,2.0
471746,17391.41,CREDITS_PAID_TO_DATE,17.46,1.0
914849,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,249.11,1.0
808174,-784.62,ALL_CREDITS_PAID_BACK,460.19,1.0
445581,-368.63,PRIOR_PAYMENTS_DELAYED,4.93,2.0
1043701,43.96,PRIOR_PAYMENTS_DELAYED,88.93,2.0
1175955,11051.48,PRIOR_PAYMENTS_DELAYED,1187.99,2.0
1146804,0,CREDITS_PAID_TO_DATE,26.7,1.0
30417,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,525.23,2.0
912989,-95.89,ALL_CREDITS_PAID_BACK,286.26,1.0
202086,171.5,ALL_CREDITS_PAID_BACK,49.2,1.0
409686,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
924965,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
205835,-665.67,ALL_CREDITS_PAID_BACK,441.07,
283119,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,UNKNOWN,1.0
1078089,83.69,CREDITS_PAID_TO_DATE,16.87,2.0
989302,2453.65,CREDITS_PAID_TO_DATE,25.67,1.0
472686,-48.09,CREDITS_PAID_TO_DATE,50.88,2.0
137843,-18.72,CREDITS_PAID_TO_DATE,66.57,1.0
921884,-121.74,ALL_CREDITS_PAID_BACK,19.55,1.0
978011,NO_CHECKING,CREDITS_PAID_TO_DATE,860.79,1.0
589054,189.12,CREDITS_PAID_TO_DATE,9.06,1.0
539976,0,PRIOR_PAYMENTS_DELAYED,2321.59,2.0
263611,49.96,PRIOR_PAYMENTS_DELAYED,55.29,1.0
424368,13441.21,OUTSTANDING_CREDIT,995.5,2.0
367248,NO_CHECKING,CREDITS_PAID_TO_DATE,11.36,1.0
1088816,108.8,NO_CREDITS,227.56,2.0
540372,127.5,CREDITS_PAID_TO_DATE,32.53,1.0
7903,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,UNKNOWN,1.0
646174,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,5368.28,1.0
222866,56.79,CREDITS_PAID_TO_DATE,727.82,1.0
52903,NO_CHECKING,OUTSTANDING_CREDIT,14926.99,2.0
361368,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,UNKNOWN,3.0
572583,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,998.09,1.0
40229,-240.3,ALL_CREDITS_PAID_BACK,12.54,1.0
817969,-181.66,ALL_CREDITS_PAID_BACK,18.98,1.0
478515,NO_CHECKING,CREDITS_PAID_TO_DATE,221.79,2.0
887509,NO_CHECKING,CREDITS_PAID_TO_DATE,980.41,1.0
175996,-951.02,ALL_CREDITS_PAID_BACK,1.11,1.0
271661,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,343.4,2.0
818660,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,UNKNOWN,2.0
765079,-75.4,PRIOR_PAYMENTS_DELAYED,82.61,1.0
488884,-185.32,CREDITS_PAID_TO_DATE,648.72,1.0
12996,8421.46,ALL_CREDITS_PAID_BACK,94.68,1.0
246793,111.53,ALL_CREDITS_PAID_BACK,47.73,1.0
1043396,NO_CHECKING,CREDITS_PAID_TO_DATE,260.55,1.0
164843,1434.78,PRIOR_PAYMENTS_DELAYED,831.82,2.0
905203,117.65,CREDITS_PAID_TO_DATE,500.65,2.0
248932,-1207.07,ALL_CREDITS_PAID_BACK,21.37,1.0
598350,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,323.68,1.0
528799,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,UNKNOWN,2.0
1222238,-1353.72,PRIOR_PAYMENTS_DELAYED,231.74,1.0
677729,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,366.61,1.0
96197,NO_CHECKING,OUTSTANDING_CREDIT,26587.92,2.0
1206978,NO_CHECKING,OUTSTANDING_CREDIT,829.3,2.0
934321,22.13,CREDITS_PAID_TO_DATE,42.25,1.0
732995,131.01,PRIOR_PAYMENTS_DELAYED,161.16,1.0
845278,NO_CHECKING,CREDITS_PAID_TO_DATE,226.04,1.0
1135967,,ALL_CREDITS_PAID_BACK,808.73,2.0
1098712,NO_CHECKING,ALL_CREDITS_PAID_BACK,863.85,1.0
438740,NO_CHECKING,OUTSTANDING_CREDIT,888.88,2.0
1271122,NO_CHECKING,CREDITS_PAID_TO_DATE,1372.08,2.0
407,-185.04,PRIOR_PAYMENTS_DELAYED,49.65,2.0
93378,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,280.85,2.0
845347,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,934.53,2.0
1025119,32.48,CREDITS_PAID_TO_DATE,13.48,1.0
1100559,-191.26,CREDITS_PAID_TO_DATE,2116.05,1.0
1095177,1977.08,CREDITS_PAID_TO_DATE,2449.22,2.0
482954,4124.42,CREDITS_PAID_TO_DATE,266.78,1.0
274374,NO_CHECKING,CREDITS_PAID_TO_DATE,300.78,1.0
544844,NO_CHECKING,CREDITS_PAID_TO_DATE,159.18,2.0
912503,-896.94,CREDITS_PAID_TO_DATE,82.9,1.0
1283242,-74.39,PRIOR_PAYMENTS_DELAYED,97.18,2.0
56914,156.34,PRIOR_PAYMENTS_DELAYED,2042.48,2.0
719860,-233.42,PRIOR_PAYMENTS_DELAYED,81.86,1.0
741722,109.81,CREDITS_PAID_TO_DATE,22.18,1.0
570747,-291.54,ALL_CREDITS_PAID_BACK,32.89,1.0
679060,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,420.43,1.0
332998,-842.31,CREDITS_PAID_TO_DATE,27.0,1.0
889647,-42.65,CREDITS_PAID_TO_DATE,787.14,2.0
1023698,32.1,ALL_CREDITS_PAID_BACK,48.71,1.0
702913,-1033.93,ALL_CREDITS_PAID_BACK,69.21,1.0
239315,NO_CHECKING,CREDITS_PAID_TO_DATE,383.32,2.0
389549,-829.81,CREDITS_PAID_TO_DATE,202.57,2.0
678836,NO_CHECKING,OUTSTANDING_CREDIT,891.0,2.0
1262043,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,UNKNOWN,3.0
384513,-185.74,ALL_CREDITS_PAID_BACK,75.96,1.0
1275671,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,158.27,2.0
1086627,NO_CHECKING,OUTSTANDING_CREDIT,32815.34,2.0
1231646,,ALL_CREDITS_PAID_BACK,98.8,1.0
866569,NO_CHECKING,OUTSTANDING_CREDIT,529.4,2.0
532478,NO_CHECKING,OUTSTANDING_CREDIT,905.04,2.0
252932,NO_CHECKING,OUTSTANDING_CREDIT,509.09,2.0
217754,124.18,PRIOR_PAYMENTS_DELAYED,1803.49,1.0
657924,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,515.17,2.0
940604,NO_CHECKING,OUTSTANDING_CREDIT,1278.51,2.0
705412,181.95,ALL_CREDITS_PAID_BACK,28.99,1.0
1010118,-288.85,PRIOR_PAYMENTS_DELAYED,2.59,2.0
1123082,19.67,ALL_CREDITS_PAID_BACK,82.1,1.0
692442,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,1011.82,2.0
1138981,NO_CHECKING,OUTSTANDING_CREDIT,811.71,2.0
896239,190.91,CREDITS_PAID_TO_DATE,35.87,1.0
128119,NO_CHECKING,OUTSTANDING_CREDIT,583.04,1.0
579664,NO_CHECKING,CREDITS_PAID_TO_DATE,1065.94,1.0
400658,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,16468.72,2.0
1062131,-49.99,ALL_CREDITS_PAID_BACK,72.49,1.0
1253461,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,754.37,1.0
122356,-427.81,ALL_CREDITS_PAID_BACK,8.45,1.0
539254,55.29,ALL_CREDITS_PAID_BACK,790.43,1.0
1074436,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
126395,-1773.27,CREDITS_PAID_TO_DATE,239.14,1.0
672700,125.01,PRIOR_PAYMENTS_DELAYED,360.89,2.0
168578,-42.21,ALL_CREDITS_PAID_BACK,153.57,2.0
267934,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,480.56,2.0
1302757,186.63,CREDITS_PAID_TO_DATE,94.23,1.0
501397,-99.73,ALL_CREDITS_PAID_BACK,24.02,
421968,117.05,CREDITS_PAID_TO_DATE,,1.0
448597,44.12,ALL_CREDITS_PAID_BACK,384.37,1.0
744602,19.0,CREDITS_PAID_TO_DATE,669.37,2.0
578802,24.86,PRIOR_PAYMENTS_DELAYED,9.22,1.0
985315,NO_CHECKING,OUTSTANDING_CREDIT,963.82,2.0
651841,2745.18,OUTSTANDING_CREDIT,UNKNOWN,2.0
98,32.83,CREDITS_PAID_TO_DATE,476.7,1.0
454336,-142.61,ALL_CREDITS_PAID_BACK,38.2,1.0
583476,-58.56,PRIOR_PAYMENTS_DELAYED,55.29,1.0
136351,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,462.95,2.0
628868,NO_CHECKING,ALL_CREDITS_PAID_BACK,88.6,1.0
1103988,NO_CHECKING,OUTSTANDING_CREDIT,870.44,2.0
994934,NO_CHECKING,OUTSTANDING_CREDIT,961.78,2.0
718475,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,UNKNOWN,2.0
1161354,156.61,PRIOR_PAYMENTS_DELAYED,351.1,1.0
1168935,83.23,PRIOR_PAYMENTS_DELAYED,1330.11,3.0
1037136,-35.61,PRIOR_PAYMENTS_DELAYED,32.85,1.0
907468,-1672.06,PRIOR_PAYMENTS_DELAYED,2059.32,2.0
615476,NO_CHECKING,CREDITS_PAID_TO_DATE,134.55,1.0
157155,-1934.51,CREDITS_PAID_TO_DATE,978.17,1.0
130495,9264.83,OUTSTANDING_CREDIT,446.66,1.0
1134477,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,273.64,1.0
653663,59.7,CREDITS_PAID_TO_DATE,52.46,2.0
783884,-700.43,ALL_CREDITS_PAID_BACK,167.34,1.0
399297,-305.34,PRIOR_PAYMENTS_DELAYED,54.07,1.0
848755,57.6,CREDITS_PAID_TO_DATE,43.57,1.0
1006424,9185.84,OUTSTANDING_CREDIT,UNKNOWN,2.0
170481,-90.42,CREDITS_PAID_TO_DATE,95.51,2.0
706475,875.27,PRIOR_PAYMENTS_DELAYED,430.84,1.0
908928,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
514170,15602.3,PRIOR_PAYMENTS_DELAYED,595.0,1.0
696249,-101.32,ALL_CREDITS_PAID_BACK,419.28,1.0
221304,2.0,ALL_CREDITS_PAID_BACK,912.01,1.0
96415,109.5,ALL_CREDITS_PAID_BACK,149.9,1.0
456205,125.76,PRIOR_PAYMENTS_DELAYED,114.42,2.0
481264,NO_CHECKING,CREDITS_PAID_TO_DATE,760.51,1.0
1103391,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,256.21,2.0
802384,-628.71,CREDITS_PAID_TO_DATE,882.52,2.0
124502,NO_CHECKING,OUTSTANDING_CREDIT,936.1,2.0
912837,-374.98,PRIOR_PAYMENTS_DELAYED,82.89,1.0
992759,15189.73,PRIOR_PAYMENTS_DELAYED,2004.37,2.0
520064,-820.61,CREDITS_PAID_TO_DATE,9.76,1.0
986175,-214.86,CREDITS_PAID_TO_DATE,766.23,2.0
1172884,NO_CHECKING,OUTSTANDING_CREDIT,291.31,1.0
243691,8771.09,PRIOR_PAYMENTS_DELAYED,417.83,2.0
1226141,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,23801.75,2.0
1298907,155.71,ALL_CREDITS_PAID_BACK,71.74,1.0
402857,NO_CHECKING,CREDITS_PAID_TO_DATE,12.28,1.0
584965,NO_CHECKING,CREDITS_PAID_TO_DATE,752.44,2.0
833765,-17.54,ALL_CREDITS_PAID_BACK,27.4,1.0
311327,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,22208.46,3.0
1256680,0,CREDITS_PAID_TO_DATE,789.16,2.0
112305,78.48,PRIOR_PAYMENTS_DELAYED,761.75,2.0
513896,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,112.72,2.0
186757,-2.23,PRIOR_PAYMENTS_DELAYED,115.16,3.0
583778,-38.03,CREDITS_PAID_TO_DATE,,1.0
780542,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,905.03,1.0
422720,-403.67,ALL_CREDITS_PAID_BACK,23.83,1.0
760401,6273.66,PRIOR_PAYMENTS_DELAYED,69.06,1.0
402730,NO_CHECKING,CREDITS_PAID_TO_DATE,400.64,2.0
609676,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,1181.17,2.0
588213,NO_CHECKING,CREDITS_PAID_TO_DATE,384.55,1.0
1088442,NO_CHECKING,OUTSTANDING_CREDIT,545.23,1.0
56438,28.23,CREDITS_PAID_TO_DATE,988.2,2.0
1124991,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,850.21,1.0
241848,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,908.78,2.0
566699,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,112.84,2.0
733538,-111.58,CREDITS_PAID_TO_DATE,55.57,1.0
1140833,-966.03,ALL_CREDITS_PAID_BACK,20.53,1.0
851564,143.24,CREDITS_PAID_TO_DATE,17.69,1.0
743354,3.62,CREDITS_PAID_TO_DATE,10.36,1.0
476109,-148.86,CREDITS_PAID_TO_DATE,28.04,1.0
596395,NO_CHECKING,OUTSTANDING_CREDIT,917.84,2.0
57916,100.28,ALL_CREDITS_PAID_BACK,45.5,1.0
702467,-619.58,ALL_CREDITS_PAID_BACK,80.82,1.0
304480,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,616.68,2.0
689560,NO_CHECKING,OUTSTANDING_CREDIT,667.6,2.0
1051131,152.81,CREDITS_PAID_TO_DATE,100.88,1.0
304315,29.46,CREDITS_PAID_TO_DATE,76.13,1.0
985756,100.04,CREDITS_PAID_TO_DATE,79.41,1.0
306935,-223.76,ALL_CREDITS_PAID_BACK,425.95,1.0
1170036,-218.08,CREDITS_PAID_TO_DATE,652.22,1.0
859127,3644.53,PRIOR_PAYMENTS_DELAYED,1876.16,2.0
658691,NO_CHECKING,ALL_CREDITS_PAID_BACK,1940.97,1.0
11668,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,386.03,2.0
226221,-802.09,CREDITS_PAID_TO_DATE,9.43,1.0
329564,79.83,CREDITS_PAID_TO_DATE,27.01,1.0
20660,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,609.95,2.0
281342,0,CREDITS_PAID_TO_DATE,67.67,1.0
1175021,0,CREDITS_PAID_TO_DATE,0.08,1.0
781217,NO_CHECKING,ALL_CREDITS_PAID_BACK,5684.8,1.0
344223,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,940.13,2.0
