ID,PAYMENT_TERM,INSTALLMENT_PLANS,INSTALLMENT_PERCENT,LOAN_PURPOSE,LOAN_AMOUNT,OTHERS_ON_LOAN,ALLOW
1111035,1380.0,NONE,5.0,APPLIANCES,8838.0,CO-APPLICANT,0
1114170,240.0,NONE,2.0,CAR_NEW,440.0,NONE,1
687609,620.0,NONE,3.0,CAR_USED,2974.0,NONE,1
670272,1054.0,NONE,4.0,REPAIRS,6810.0,NONE,0
969668,540.0,NONE,4.0,APPLIANCES,4534.0,NONE,1
261265,120.0,BANK,1.0,CAR_NEW,250.0,NONE,1
9151,840.0,NONE,4.0,REPAIRS,3789.0,NONE,0
976657,341.0,NONE,4.0,VACATION,5537.0,NONE,1
462383,372.0,NONE,3.0,VACATION,1529.0,NONE,1
540991,540.0,NONE,2.0,CAR_NEW,3454.0,NONE,1
546488,1050.0,STORES,2.0,CAR_USED,2018.0,NONE,0
593348,434.0,STORES,1.0,APPLIANCES,922.0,NONE,1
1154081,810.0,STORES,3.0,CAR_USED,1918.0,NONE,1
747253,496.0,NONE,3.0,CAR_NEW,1680.0,NONE,1
616954,930.0,NONE,5.0,REPAIRS,6111.0,NONE,1
498857,868.0,STORES,4.0,RADIO_TV,2402.0,NONE,1
1211445,570.0,NONE,3.0,BUSINESS,4480.0,NONE,0
250264,720.0,NONE,4.0,FURNITURE,6086.0,NONE,1
1122318,930.0,STORES,2.0,RADIO_TV,3624.0,NONE,1
1239840,390.0,NONE,3.0,CAR_USED,3091.0,NONE,1
703277,837.0,NONE,3.0,EDUCATION,5629.0,NONE,1
256045,744.0,NONE,3.0,BUSINESS,5279.0,NONE,1
309757,270.0,STORES,2.0,CAR_NEW,329.0,NONE,0
377346,372.0,BANK,3.0,FURNITURE,4137.0,NONE,1
1005670,465.0,NONE,2.0,APPLIANCES,1107.0,CO-APPLICANT,1
1132462,434.0,BANK,4.0,CAR_NEW,2492.0,NONE,1
375544,1290.0,NONE,5.0,REPAIRS,7877.0,CO-APPLICANT,0
1290933,403.0,STORES,2.0,CAR_NEW,4070.0,NONE,1
808239,837.0,NONE,4.0,RADIO_TV,5468.0,NONE,1
559174,837.0,NONE,4.0,APPLIANCES,6905.0,NONE,1
486691,372.0,NONE,3.0,FURNITURE,3897.0,NONE,1
515104,570.0,BANK,1.0,RADIO_TV,472.0,NONE,1
1145513,390.0,NONE,4.0,FURNITURE,4929.0,NONE,1
792405,868.0,STORES,3.0,FURNITURE,5361.0,NONE,0
1157104,124.0,NONE,3.0,CAR_USED,250.0,NONE,1
847824,390.0,NONE,3.0,FURNITURE,3370.0,NONE,0
440987,540.0,NONE,3.0,FURNITURE,1070.0,NONE,0
17193,300.0,NONE,3.0,FURNITURE,4037.0,NONE,0
1050173,330.0,NONE,2.0,RADIO_TV,340.0,NONE,1
1073420,961.0,NONE,3.0,FURNITURE,2159.0,NONE,0
656245,1020.0,NONE,4.0,FURNITURE,5283.0,NONE,0
238702,1209.0,NONE,4.0,BUSINESS,6676.0,CO-APPLICANT,1
889573,750.0,BANK,4.0,OTHER,3411.0,CO-APPLICANT,1
749104,780.0,STORES,4.0,BUSINESS,6693.0,NONE,1
49070,775.0,NONE,4.0,EDUCATION,5614.0,NONE,1
690193,372.0,NONE,3.0,FURNITURE,4781.0,CO-APPLICANT,1
72190,124.0,NONE,2.0,CAR_USED,250.0,NONE,1
324379,600.0,STORES,2.0,FURNITURE,2732.0,NONE,0
792252,120.0,NONE,1.0,CAR_NEW,250.0,NONE,1
177019,240.0,NONE,2.0,FURNITURE,3007.0,NONE,1
162595,660.0,NONE,3.0,FURNITURE,2849.0,NONE,1
434597,744.0,NONE,3.0,FURNITURE,1507.0,NONE,1
780643,930.0,NONE,4.0,OTHER,5566.0,NONE,1
1145876,180.0,STORES,2.0,CAR_NEW,250.0,CO-APPLICANT,1
411047,775.0,NONE,4.0,FURNITURE,2160.0,NONE,1
1162239,341.0,NONE,2.0,APPLIANCES,250.0,NONE,1
466674,1200.0,NONE,4.0,APPLIANCES,6327.0,NONE,0
837863,496.0,NONE,3.0,FURNITURE,2241.0,NONE,1
978449,1170.0,NONE,5.0,APPLIANCES,6322.0,NONE,0
995323,870.0,NONE,5.0,APPLIANCES,6599.0,NONE,1
568097,660.0,STORES,2.0,CAR_NEW,1353.0,NONE,1
925941,1140.0,STORES,4.0,OTHER,5588.0,NONE,0
380536,600.0,NONE,4.0,CAR_USED,3074.0,GUARANTOR,0
323768,620.0,NONE,2.0,VACATION,862.0,NONE,1
480223,744.0,STORES,3.0,RADIO_TV,2484.0,NONE,1
806224,930.0,NONE,4.0,OTHER,9225.0,CO-APPLICANT,0
688640,651.0,STORES,3.0,RADIO_TV,3480.0,NONE,1
403788,124.0,NONE,2.0,CAR_NEW,250.0,NONE,1
121936,434.0,NONE,3.0,BUSINESS,4921.0,NONE,1
784958,360.0,NONE,4.0,RADIO_TV,2196.0,NONE,1
499055,1080.0,NONE,4.0,APPLIANCES,5794.0,GUARANTOR,0
1092469,558.0,STORES,4.0,RADIO_TV,5172.0,NONE,0
1035991,990.0,NONE,4.0,RADIO_TV,4758.0,NONE,0
601386,480.0,BANK,2.0,CAR_USED,1371.0,NONE,1
1147165,750.0,NONE,3.0,CAR_USED,2792.0,NONE,0
176012,120.0,NONE,1.0,,250.0,NONE,1
896159,1050.0,NONE,5.0,FURNITURE,5602.0,NONE,1
1256806,372.0,BANK,3.0,FURNITURE,1602.0,NONE,1
1234661,186.0,STORES,,CAR_NEW,250.0,NONE,1
1002707,775.0,NONE,4.0,RADIO_TV,5201.0,GUARANTOR,0
820492,465.0,NONE,3.0,FURNITURE,4496.0,NONE,1
406082,1110.0,NONE,4.0,APPLIANCES,5126.0,NONE,1
256096,240.0,NONE,3.0,CAR_USED,5577.0,NONE,1
825645,690.0,NONE,4.0,RETRAINING,2066.0,,1
23993,330.0,NONE,3.0,CAR_USED,944.0,NONE,1
497197,840.0,NONE,3.0,CAR_USED,2989.0,GUARANTOR,0
397953,713.0,STORES,2.0,RETRAINING,3280.0,NONE,1
377941,589.0,NONE,2.0,FURNITURE,1283.0,NONE,1
1016836,420.0,NONE,2.0,CAR_USED,2588.0,NONE,1
1297412,713.0,NONE,4.0,APPLIANCES,4655.0,NONE,0
586635,870.0,NONE,4.0,RADIO_TV,4623.0,NONE,1
106063,1054.0,NONE,5.0,APPLIANCES,5422.0,NONE,0
254704,900.0,NONE,5.0,RADIO_TV,5786.0,NONE,0
715467,1054.0,STORES,5.0,REPAIRS,7405.0,NONE,1
506392,124.0,NONE,3.0,CAR_NEW,250.0,NONE,1
1209486,248.0,NONE,2.0,CAR_USED,888.0,NONE,1
225497,899.0,BANK,4.0,RADIO_TV,2871.0,CO-APPLICANT,0
1276156,992.0,NONE,5.0,BUSINESS,6394.0,NONE,1
517623,744.0,NONE,2.0,FURNITURE,6266.0,NONE,0
583538,1054.0,NONE,3.0,FURNITURE,9545.0,CO-APPLICANT,0
226419,992.0,NONE,3.0,APPLIANCES,6064.0,NONE,0
930777,780.0,BANK,3.0,RADIO_TV,3705.0,NONE,1
65321,450.0,NONE,2.0,CAR_NEW,3012.0,NONE,1
775444,186.0,NONE,3.0,EDUCATION,4520.0,CO-APPLICANT,0
642625,713.0,NONE,2.0,RADIO_TV,4869.0,NONE,1
414168,930.0,NONE,5.0,REPAIRS,6460.0,NONE,0
621014,630.0,NONE,3.0,FURNITURE,5281.0,NONE,1
601775,1085.0,STORES,4.0,REPAIRS,6523.0,CO-APPLICANT,0
713592,124.0,NONE,2.0,CAR_USED,1657.0,NONE,1
289978,124.0,STORES,2.0,CAR_NEW,250.0,NONE,1
1078310,810.0,NONE,4.0,BUSINESS,5376.0,NONE,0
1002443,1085.0,STORES,4.0,CAR_USED,4119.0,NONE,1
859235,1050.0,NONE,4.0,RADIO_TV,5209.0,CO-APPLICANT,0
791777,300.0,NONE,2.0,CAR_NEW,2165.0,NONE,1
546330,390.0,NONE,3.0,CAR_NEW,2337.0,NONE,1
727697,1050.0,NONE,3.0,CAR_USED,2660.0,NONE,1
14128,1209.0,NONE,5.0,VACATION,6434.0,NONE,0
908370,1380.0,NONE,4.0,APPLIANCES,5644.0,NONE,0
559110,124.0,NONE,2.0,CAR_NEW,250.0,NONE,1
384636,180.0,STORES,1.0,CAR_USED,763.0,NONE,1
714096,372.0,BANK,2.0,CAR_USED,5380.0,NONE,1
451244,124.0,NONE,1.0,REPAIRS,250.0,NONE,1
1303222,403.0,NONE,2.0,CAR_USED,3689.0,CO-APPLICANT,1
545613,868.0,NONE,4.0,FURNITURE,9054.0,GUARANTOR,0
398353,1260.0,NONE,6.0,RADIO_TV,9856.0,,0
281782,1054.0,NONE,4.0,VACATION,3700.0,NONE,0
465856,620.0,STORES,4.0,APPLIANCES,3451.0,NONE,1
53837,750.0,NONE,3.0,RADIO_TV,2429.0,NONE,1
412366,420.0,NONE,2.0,RADIO_TV,1582.0,NONE,1
548711,527.0,STORES,2.0,FURNITURE,250.0,NONE,1
325293,360.0,NONE,3.0,CAR_NEW,4916.0,NONE,0
315755,240.0,NONE,2.0,FURNITURE,250.0,NONE,1
815335,155.0,NONE,2.0,CAR_USED,250.0,NONE,1
975788,1023.0,NONE,4.0,FURNITURE,4514.0,CO-APPLICANT,0
440248,868.0,NONE,3.0,RADIO_TV,6029.0,NONE,1
217488,1178.0,BANK,4.0,REPAIRS,6061.0,NONE,1
833221,589.0,NONE,4.0,RADIO_TV,1993.0,NONE,0
460449,810.0,NONE,5.0,APPLIANCES,8141.0,NONE,0
399092,510.0,NONE,4.0,RADIO_TV,4533.0,NONE,1
109255,806.0,NONE,3.0,CAR_USED,5072.0,CO-APPLICANT,1
1170850,900.0,NONE,3.0,CAR_USED,3000.0,NONE,1
1196151,806.0,BANK,3.0,FURNITURE,4823.0,NONE,1
86283,806.0,NONE,2.0,RETRAINING,2987.0,NONE,1
53845,120.0,NONE,1.0,CAR_NEW,250.0,NONE,1
247264,480.0,STORES,2.0,CAR_USED,3806.0,NONE,0
810670,540.0,NONE,3.0,FURNITURE,2503.0,NONE,1
105694,1426.0,STORES,5.0,EDUCATION,5670.0,CO-APPLICANT,1
1282594,960.0,NONE,3.0,RADIO_TV,5102.0,NONE,0
1300540,900.0,STORES,3.0,,788.0,CO-APPLICANT,1
220433,992.0,NONE,4.0,FURNITURE,9016.0,CO-APPLICANT,1
639635,806.0,BANK,3.0,RADIO_TV,4426.0,NONE,1
493852,961.0,STORES,3.0,OTHER,6396.0,NONE,0
320609,248.0,NONE,2.0,CAR_USED,2069.0,NONE,1
657226,651.0,STORES,3.0,CAR_USED,5291.0,GUARANTOR,1
1301488,840.0,NONE,3.0,BUSINESS,7860.0,NONE,0
22722,1023.0,STORES,2.0,CAR_NEW,3618.0,NONE,1
1015892,248.0,NONE,2.0,FURNITURE,2149.0,NONE,1
626337,465.0,NONE,3.0,CAR_USED,4638.0,NONE,1
75875,868.0,STORES,2.0,RADIO_TV,530.0,NONE,1
1101749,690.0,STORES,4.0,REPAIRS,6103.0,NONE,0
902951,775.0,BANK,3.0,CAR_NEW,3018.0,NONE,1
1168685,527.0,STORES,3.0,REPAIRS,4339.0,NONE,1
528295,1085.0,NONE,3.0,FURNITURE,3509.0,NONE,0
824867,120.0,NONE,2.0,CAR_USED,250.0,NONE,1
64710,120.0,NONE,1.0,CAR_NEW,250.0,NONE,1
1003450,,NONE,4.0,FURNITURE,5823.0,GUARANTOR,0
889082,1240.0,NONE,5.0,REPAIRS,8813.0,CO-APPLICANT,0
1117040,510.0,NONE,3.0,CAR_NEW,337.0,NONE,1
705296,837.0,STORES,2.0,RADIO_TV,3279.0,NONE,1
158940,868.0,NONE,4.0,BUSINESS,5626.0,NONE,1
1066837,1170.0,STORES,4.0,FURNITURE,4735.0,NONE,0
1246199,620.0,NONE,2.0,CAR_NEW,3731.0,NONE,0
1304592,341.0,NONE,1.0,CAR_NEW,250.0,NONE,1
126615,300.0,NONE,1.0,CAR_NEW,250.0,NONE,1
96313,420.0,NONE,3.0,CAR_USED,3072.0,NONE,1
1006713,900.0,STORES,4.0,CAR_USED,2246.0,NONE,0
1265441,510.0,NONE,3.0,VACATION,1862.0,CO-APPLICANT,1
1019449,600.0,STORES,2.0,CAR_NEW,250.0,NONE,1
114844,420.0,NONE,3.0,VACATION,587.0,NONE,1
600144,744.0,,3.0,RADIO_TV,1764.0,NONE,1
369017,124.0,NONE,1.0,CAR_USED,250.0,NONE,1
994993,450.0,STORES,2.0,RADIO_TV,250.0,NONE,1
584427,300.0,NONE,1.0,CAR_USED,1847.0,NONE,1
464405,1085.0,NONE,5.0,REPAIRS,5650.0,NONE,0
332556,120.0,STORES,1.0,CAR_NEW,250.0,NONE,1
917623,570.0,NONE,2.0,CAR_NEW,250.0,NONE,1
837289,465.0,NONE,3.0,CAR_USED,250.0,NONE,1
118158,434.0,NONE,2.0,FURNITURE,250.0,NONE,1
458242,600.0,NONE,2.0,CAR_USED,1753.0,NONE,0
198555,840.0,NONE,4.0,CAR_USED,3720.0,NONE,0
406396,1178.0,BANK,3.0,FURNITURE,2403.0,NONE,1
601394,682.0,,3.0,CAR_USED,1993.0,NONE,1
651696,1140.0,NONE,3.0,REPAIRS,3094.0,NONE,0
488438,120.0,NONE,3.0,CAR_NEW,250.0,NONE,1
1275097,868.0,STORES,4.0,APPLIANCES,5385.0,NONE,1
957032,420.0,NONE,3.0,CAR_NEW,3837.0,CO-APPLICANT,1
49344,750.0,STORES,3.0,CAR_USED,2056.0,NONE,1
640678,720.0,NONE,4.0,APPLIANCES,4791.0,NONE,0
290586,1830.0,STORES,5.0,EDUCATION,6293.0,CO-APPLICANT,1
4446,124.0,NONE,2.0,CAR_NEW,250.0,NONE,1
972741,744.0,NONE,3.0,RADIO_TV,250.0,NONE,1
1246542,510.0,NONE,3.0,FURNITURE,3368.0,NONE,0
667238,1116.0,NONE,3.0,APPLIANCES,3456.0,NONE,1
841169,837.0,NONE,3.0,RADIO_TV,4642.0,NONE,1
1255561,961.0,BANK,3.0,CAR_USED,2876.0,NONE,1
1076266,1110.0,NONE,5.0,FURNITURE,7275.0,CO-APPLICANT,0
822452,1054.0,NONE,4.0,RADIO_TV,5365.0,NONE,0
864153,1350.0,NONE,5.0,EDUCATION,7419.0,CO-APPLICANT,0
636462,1302.0,NONE,4.0,EDUCATION,6149.0,CO-APPLICANT,0
1277488,240.0,NONE,3.0,CAR_USED,4969.0,NONE,0
265175,496.0,NONE,2.0,RETRAINING,250.0,NONE,1
118627,210.0,NONE,1.0,CAR_NEW,250.0,NONE,1
312305,120.0,BANK,2.0,CAR_USED,250.0,NONE,1
336167,806.0,STORES,4.0,RADIO_TV,1853.0,NONE,1
516749,775.0,NONE,4.0,FURNITURE,5359.0,NONE,1
381355,620.0,NONE,3.0,FURNITURE,3075.0,NONE,1
46658,420.0,NONE,2.0,FURNITURE,250.0,NONE,1
725513,150.0,NONE,3.0,CAR_USED,2994.0,NONE,1
573242,372.0,NONE,2.0,CAR_NEW,250.0,NONE,1
514302,992.0,NONE,4.0,CAR_USED,4186.0,NONE,1
1294633,630.0,NONE,3.0,REPAIRS,1779.0,NONE,1
473835,527.0,NONE,3.0,CAR_NEW,1595.0,NONE,1
667900,510.0,NONE,4.0,RADIO_TV,6558.0,NONE,1
266928,1271.0,STORES,6.0,APPLIANCES,7208.0,GUARANTOR,0
1073079,1147.0,NONE,4.0,OTHER,6991.0,CO-APPLICANT,0
450392,960.0,BANK,3.0,FURNITURE,4947.0,CO-APPLICANT,0
309249,120.0,STORES,1.0,CAR_USED,250.0,NONE,1
793188,1364.0,NONE,4.0,OTHER,9542.0,CO-APPLICANT,0
414019,124.0,NONE,1.0,RADIO_TV,250.0,NONE,1
1095322,279.0,NONE,3.0,CAR_USED,3271.0,NONE,1
240146,900.0,NONE,5.0,REPAIRS,3671.0,NONE,0
551074,540.0,NONE,4.0,FURNITURE,5313.0,NONE,1
1017518,1116.0,NONE,4.0,APPLIANCES,7673.0,NONE,1
1211981,120.0,NONE,1.0,CAR_USED,2070.0,NONE,1
451982,434.0,NONE,4.0,RETRAINING,7135.0,NONE,1
338017,124.0,NONE,3.0,VACATION,3497.0,CO-APPLICANT,1
960476,1020.0,STORES,4.0,RADIO_TV,5609.0,NONE,0
661014,1050.0,NONE,5.0,EDUCATION,5289.0,NONE,1
120183,1240.0,NONE,4.0,RADIO_TV,2604.0,NONE,0
1244822,403.0,BANK,2.0,REPAIRS,3861.0,NONE,1
1123476,750.0,NONE,4.0,CAR_USED,4180.0,GUARANTOR,1
176320,750.0,NONE,4.0,APPLIANCES,5846.0,NONE,0
2731,330.0,NONE,3.0,CAR_NEW,4553.0,NONE,1
467387,1170.0,NONE,4.0,REPAIRS,4862.0,CO-APPLICANT,1
663134,150.0,STORES,3.0,CAR_USED,4170.0,NONE,1
584325,465.0,NONE,3.0,FURNITURE,4813.0,NONE,0
229037,403.0,NONE,2.0,FURNITURE,815.0,NONE,1
351478,589.0,STORES,4.0,CAR_USED,3812.0,NONE,0
886525,1178.0,NONE,5.0,APPLIANCES,7025.0,CO-APPLICANT,0
925325,960.0,NONE,4.0,RADIO_TV,6315.0,CO-APPLICANT,0
764766,270.0,NONE,2.0,CAR_NEW,250.0,NONE,1
1242924,810.0,NONE,3.0,RETRAINING,7160.0,NONE,1
967963,744.0,NONE,3.0,EDUCATION,2770.0,NONE,0
1069244,682.0,NONE,3.0,RADIO_TV,2847.0,NONE,0
592247,630.0,STORES,2.0,CAR_USED,2716.0,NONE,1
1233882,465.0,BANK,2.0,FURNITURE,1347.0,NONE,1
297883,589.0,NONE,3.0,APPLIANCES,3691.0,CO-APPLICANT,0
903260,270.0,NONE,2.0,CAR_NEW,2524.0,NONE,1
158640,1302.0,NONE,5.0,APPLIANCES,7240.0,CO-APPLICANT,0
865976,620.0,NONE,4.0,RETRAINING,4522.0,NONE,0
466781,992.0,NONE,2.0,CAR_USED,5930.0,NONE,1
382096,930.0,NONE,3.0,FURNITURE,2696.0,NONE,1
585957,120.0,NONE,1.0,CAR_NEW,250.0,NONE,1
26066,420.0,NONE,2.0,CAR_USED,1144.0,NONE,1
737793,310.0,NONE,2.0,FURNITURE,6084.0,NONE,0
570097,124.0,NONE,2.0,CAR_NEW,250.0,NONE,1
727059,1147.0,NONE,5.0,RADIO_TV,5821.0,CO-APPLICANT,0
342790,960.0,NONE,4.0,FURNITURE,5460.0,NONE,0
1192439,510.0,NONE,3.0,CAR_NEW,1721.0,NONE,1
417640,124.0,NONE,2.0,RADIO_TV,250.0,NONE,1
424569,558.0,STORES,1.0,CAR_NEW,250.0,NONE,1
647773,713.0,STORES,4.0,REPAIRS,3355.0,NONE,1
470708,840.0,STORES,3.0,CAR_USED,723.0,NONE,1
1123408,840.0,NONE,5.0,FURNITURE,6219.0,NONE,0
330647,620.0,NONE,4.0,RADIO_TV,6486.0,NONE,1
1178278,810.0,NONE,3.0,BUSINESS,5249.0,NONE,0
70208,390.0,NONE,3.0,CAR_NEW,393.0,NONE,1
364206,480.0,NONE,2.0,CAR_NEW,1891.0,NONE,1
258161,868.0,NONE,3.0,CAR_USED,3810.0,NONE,1
39218,527.0,NONE,3.0,CAR_USED,250.0,NONE,1
1186831,496.0,STORES,3.0,CAR_NEW,250.0,NONE,1
667923,1020.0,NONE,3.0,APPLIANCES,3575.0,NONE,1
539046,240.0,NONE,2.0,CAR_NEW,1608.0,NONE,1
154695,510.0,NONE,2.0,FURNITURE,250.0,NONE,0
866177,744.0,BANK,2.0,FURNITURE,1208.0,NONE,0
885266,620.0,NONE,3.0,FURNITURE,1205.0,NONE,0
337952,870.0,STORES,4.0,REPAIRS,6824.0,NONE,0
193021,570.0,NONE,4.0,RADIO_TV,3667.0,NONE,1
55428,120.0,NONE,2.0,CAR_NEW,,NONE,1
1171675,837.0,NONE,4.0,RADIO_TV,5437.0,NONE,0
1070243,713.0,STORES,2.0,RADIO_TV,4104.0,NONE,0
756861,651.0,NONE,4.0,APPLIANCES,4943.0,NONE,1
962983,150.0,BANK,2.0,FURNITURE,250.0,NONE,1
100358,248.0,NONE,3.0,FURNITURE,250.0,NONE,1
552495,620.0,NONE,3.0,FURNITURE,250.0,CO-APPLICANT,1
1158574,390.0,NONE,3.0,FURNITURE,5577.0,NONE,1
